Группа,Преподаватель,Подгруппа,Дисциплина,Кабинет,Время,Дата
ПП25-17,Бабкина М.В.,1.2,АДП.02 Социальная адаптация и основы социально-правовых знаний,библ,12.15-13.00 13.15-14.00,28.04.2026
ПП25-18,Рубкалева А.Р.,1.2,АДП.01 Коммуникативный практикум,133,8.00-8.45 8.55-9.40,28.04.2026
ПП25-18,Шошин Н.А.,1.2,ОП.06 Физическая культура (адаптивная),с/з,10.00-10.45 11.05-11.50,28.04.2026
ПП25-18,Рубкалева А.Р.,1.2,АДП.01 Коммуникативный практикум,133,12.15-13.00 13.15-14.00,28.04.2026
С23-3,Русских Ю.В.,1.2,ПДП. ПРОИЗВОДСТВЕННАЯ ПРАКТИКА (ПРЕДДИПЛОМНАЯ),,8.00-8.45 8.55-9.40,28.04.2026
С23-3,Русских Ю.В.,1.2,ПДП. ПРОИЗВОДСТВЕННАЯ ПРАКТИКА (ПРЕДДИПЛОМНАЯ),,10.00-10.45 11.05-11.50,28.04.2026
С23-3,Русских Ю.В.,1.2,ПДП. ПРОИЗВОДСТВЕННАЯ ПРАКТИКА (ПРЕДДИПЛОМНАЯ),,12.15-13.00 13.15-14.00,28.04.2026
СС25-3,Тропина Н.Ю.,1.2,БД.01 Русский язык,247,14.55-15.40 15.50-16.35,28.04.2026
СС25-3,Фазылов Р.Ю.,1.2,БД.08 Основы безопасности и защита Родины,242,8.00-8.45 8.55-9.40,28.04.2026
СС25-3,Панфилова О.Л.,1.2,БД.02 Литература,125,10.00-10.45 11.05-11.50,28.04.2026
СС25-3,Тропина Н.Ю.,1.2,БД.01 Русский язык,247,12.15-13.00 13.15-14.00,28.04.2026
СС25-3,Машер В.В.,1.2,МДК.01.01 Компьютерные сети,207,14.10-14.55 15.05-15.50,28.04.2026
ТОд23-1,Шошин Н.А.,1.2,ОГСЭ.04 Физическая культура,с/з,14.55-15.40 15.50-16.35,28.04.2026
ТОд23-1,Бурундуков Е.В.,1.2,ОП.16 Основы законодательства в сфере дорожного движения,139,8.00-8.45 8.55-9.40,28.04.2026
ТОд23-1,Бурундуков Е.В.,1.2,ОП.16 Основы законодательства в сфере дорожного движения,139,10.00-10.45 11.05-11.50,28.04.2026
ТОд23-1,Васькина Н.И.,1.2,ОП.07 Правовое обеспечение профессиональной деятельности,139,12.15-13.00 13.15-14.00,28.04.2026
Э25-6,Дьячкова Е.Р.,1.2,МДК.01.01 Практические основы бухгалтерского учета активов организации и источников их формирования,245,14.55-15.40 15.50-16.35,28.04.2026
Э25-6,Проломова Е.Н.,1.2,СГ.02 Основы финансовой грамотности,239,8.00-8.45 8.55-9.40,28.04.2026
Э25-6,Тропина Н.Ю.,1.2,БД.02 Литература,247,10.00-10.45 11.05-11.50,28.04.2026
Э25-6,Шмелёва А.В.,1.2,ПД.02 Математика,245,12.15-13.00 13.15-14.00,28.04.2026
Э25-6,Дьячкова Е.Р.,1.2,МДК.01.01 Практические основы бухгалтерского учета активов организации и источников их формирования,245,14.10-14.55 15.05-15.50,28.04.2026
ЭСХ23-4,Азиатцев Е.С.,1,"УП.02.01 Учебная практика ""Ремонт сельскохозяйственной техники и оборудования""",№15 гараж,14.55-15.40 15.50-16.35,28.04.2026
ЭСХ23-4,Азиатцев Е.С.,2,"УП.02.01 Учебная практика ""Ремонт сельскохозяйственной техники и оборудования""",№15 гараж,14.55-15.40 15.50-16.35,28.04.2026
ЭСХ23-4,Азиатцев Е.С.,1,"УП.02.01 Учебная практика ""Ремонт сельскохозяйственной техники и оборудования""",№15 гараж,8.00-8.45 8.55-9.40,28.04.2026
ЭСХ23-4,Азиатцев Е.С.,2,"УП.02.01 Учебная практика ""Ремонт сельскохозяйственной техники и оборудования""",№15 гараж,8.00-8.45 8.55-9.40,28.04.2026
ЭСХ23-4,Азиатцев Е.С.,1,"УП.02.01 Учебная практика ""Ремонт сельскохозяйственной техники и оборудования""",№15 гараж,10.00-10.45 11.05-11.50,28.04.2026
ЭСХ23-4,Азиатцев Е.С.,2,"УП.02.01 Учебная практика ""Ремонт сельскохозяйственной техники и оборудования""",№15 гараж,10.00-10.45 11.05-11.50,28.04.2026
ЭСХ23-4,Азиатцев Е.С.,1,"УП.02.01 Учебная практика ""Ремонт сельскохозяйственной техники и оборудования""",№15 гараж,12.15-13.00 13.15-14.00,28.04.2026
ЭСХ23-4,Азиатцев Е.С.,2,"УП.02.01 Учебная практика ""Ремонт сельскохозяйственной техники и оборудования""",№15 гараж,12.15-13.00 13.15-14.00,28.04.2026
ЭСХ25-5,Кузнецов Н.В.,1.2,ОПЦ.08 Основы гидравлики и теплотехники,202,14.55-15.40 15.50-16.35,28.04.2026
