"Группа","Преподаватель","Подгруппа","Дисциплина","Кабинет","Время","Дата"
"2685","Григораш С.В.","1.2","ОДП.13 Физика","117","8.45-9.20 9.40-10.15","07.09.2026"
"2685","Григораш С.В.","1.2","ОДП.13 Физика","117","10.35-11.10 11.30-12.05","07.09.2026"
"2685","Шмелёва А.В.","1.2","ОДП.11 Математика","247","12.15-12.50 13.00-13.35","07.09.2026"
"2686","Улыбина Н.Г.","1.2","Разговоры о важном","121","8.00-8.35","07.09.2026"
"2686","Фазылов Р.Ю.","1.2","ОДБ.08 Основы безопасности и защита Родины","242","8.45-9.20 9.40-10.15","07.09.2026"
"2686","Фазылов Р.Ю.","1.2","ОДБ.08 Основы безопасности и защита Родины","242","10.35-11.10 11.30-12.05","07.09.2026"
"2686","Пилипук В.А.","1.2","ПОО.02 Введение в профессию","117","12.15-12.50 13.00-13.35","07.09.2026"
"2687","Богданов М.В.","1.2","Разговоры о важном","203","8.00-8.35","07.09.2026"
"2687","Шмелёва А.В.","1.2","ОДП.11 Математика","245","8.45-9.20 9.40-10.15","07.09.2026"
"2687","Полякова М.В.","1.2","ОДБ.03 История","240","10.35-11.10 11.30-12.05","07.09.2026"
"2687","Григораш С.В.","1.2","ОП.02 Основы электротехники","209","12.15-12.50 13.00-13.35","07.09.2026"
"2688","Готман А.Ф.","1.2","Разговоры о важном","202","8.00-8.35","07.09.2026"
"2688","Полякова М.В.","1.2","ОДБ.03 История","240","8.45-9.20 9.40-10.15","07.09.2026"
"2688","Григораш А.В.","1.2","ОДП.13 Биология","239","10.35-11.10 11.30-12.05","07.09.2026"
"2688","Панфилова О.Л.","1.2","ОДБ.02 Литература","125","12.15-12.50 13.00-13.35","07.09.2026"
"А24-1","Бакланова Е.В.","1.2","МДК.02.01 Защита растений","122","16.35-17.10 17.30-18.05","07.09.2026"
"А24-1","Бакланова Е.В.","1.2","МДК.02.02 Обработка и воспроизводство плодородия почв","122","18.15-18.50 19.00-19.35","07.09.2026"
"А24-1","Бакланова Е.В.","1.2","МДК.02.01 Защита растений","122","14.00-14.45 14.55-15.40","07.09.2026"
"Д24-5","Зылёва Я.Ф.","1.2","ОПЦ.07 Компьютерная обработка документов","136","16.35-17.10 17.30-18.05","07.09.2026"
"Д24-5","Зылёва Я.Ф.","1.2","ОПЦ.07 Компьютерная обработка документов","136","18.15-18.50 19.00-19.35","07.09.2026"
"Д24-5","Зылёва Я.Ф.","1.2","МДК.02.01 Организация и нормативно-правовые основы архивного дела","136","14.00-14.45 14.55-15.40","07.09.2026"
"ДО24-6","Мартемьянова С.В.","1.2","ОПЦ.07 Основы обучения лиц с особыми образовательными потребностями","250","16.35-17.10 17.30-18.05","07.09.2026"
"ДО24-6","Мартемьянова С.В.","1.2","ОПЦ.09 Детская психология","250","18.15-18.50 19.00-19.35","07.09.2026"
"ДО24-6","Мартемьянова С.В.","1.2","МДК.02.06 Теоретические и методические основы организации трудовой деятельности детей дошкольного возраста","250","14.00-14.45 14.55-15.40","07.09.2026"
"ДО26-7","Еськова И.П.","1.2","ОУП.03 Математика","206","16.35-17.10 17.30-18.05","07.09.2026"
"ДО26-7","Еськова И.П.","1.2","ОУП.03 Математика","206","18.15-18.50 19.00-19.35","07.09.2026"
"ДО26-7","Романовская Е.В.","1.2","ОУП.10 Обществознание","247","14.00-14.45 14.55-15.40","07.09.2026"
"ПКД24-4","Богданов М.В.","1.2","ЕН.01 Химия","203","16.35-17.10 17.30-18.05","07.09.2026"
"ПКД24-4","Абакумов А.В.","1.2","БД.07 Информатика","209","18.15-18.50 19.00-19.35","07.09.2026"
"ПКД24-4","Седякина Д.Ю.","1.2","ОГСЭ.03 Иностранный язык в профессиональной деятельности","133","14.00-14.45 14.55-15.40","07.09.2026"
"ПКД26-5","Завьялов И.А.","1.2","ПОО.02 Введение в специальность","121","16.35-17.10 17.30-18.05","07.09.2026"
"ПКД26-5","Богданов М.В.","1.2","ПД.12 Химия","203","14.00-14.45 14.55-15.40","07.09.2026"
"ПП25-17","Глыдов В.Н.","1.2","УП.01.01 Учебная практика ""Выполнение регламентных работ по поддержанию автотранспортных средств в исправном состоянии""","104","8.00-8.45 8.55-9.40","08.09.2026"
"ПП25-17","Глыдов В.Н.","1.2","УП.01.01 Учебная практика ""Выполнение регламентных работ по поддержанию автотранспортных средств в исправном состоянии""","104","10.00-10.45 11.05-11.50","08.09.2026"
"ПП25-17","Глыдов В.Н.","1.2","УП.01.01 Учебная практика ""Выполнение регламентных работ по поддержанию автотранспортных средств в исправном состоянии""","104","12.10-12.55 13.05-13.50","08.09.2026"
"ПП25-18","Григораш С.В.","1.2","ОП.04 Основы электроники и цифровой схемотехники","117","8.00-8.45 8.55-9.40","08.09.2026"
"ПП25-18","Деньгуб А.А.","1.2","МДК.02.01 Технологии публикации цифровой мультимедийной информации","135","10.00-10.45 11.05-11.50","08.09.2026"
"ПП25-18","Зылёв А.Д.","1.2","АДП. 03 Адаптивные информационные и коммуникационные технологии","9 общ ПК","12.10-12.55 13.05-13.50","08.09.2026"
"ПП26-19","Рубкалева А.Р.","1.2","АДП.01 Коммуникативный практикум","библ","8.00-8.45 8.55-9.40","08.09.2026"
"ПП26-19","Бакланова Е.В.","1.2","ОП.02Основы почвоведения и агрономии","150","10.00-10.45 11.05-11.50","08.09.2026"
"ПП26-19","Бакланова Е.В.","1.2","ОП.02Основы почвоведения и агрономии","150","12.10-12.55 13.05-13.50","08.09.2026"
"ПП26-20","Ефимов А.Н.","1.2","МДК.01.01Ремонт внутренних и наружных поверхностей зданий, облицованных плиткой, или замена отдельных плиток","140а","8.00-8.45 8.55-9.40","08.09.2026"
"ПП26-20","Ефимов А.Н.","1.2","ОП.02 Основы материаловедения","140а","10.00-10.45 11.05-11.50","08.09.2026"
"ПП26-20","Вострецова Н.В.","1.2","ОП.05 Охрана труда и техника безопасности","112","12.10-12.55 13.05-13.50","08.09.2026"
"ПП26-21","Бычихина Н.А.","1.2","АДП.02 Социальная адаптация и основы социально-правовых знаний","библ","10.00-10.45 11.05-11.50","08.09.2026"
"ПП26-21","Лунина Н.Н.","1.2","ОП.03 Основы материаловедения","библ","12.10-12.55 13.05-13.50","08.09.2026"
"ПП26-22","Малушкин А.В.","1.2","ОП.01 Основы информационных технологий","9 общ ПК","8.00-8.45 8.55-9.40","08.09.2026"
"ПП26-22","Вострецова Н.В.","1.2","ОП.02 Охрана труда и техника безопасности","112","10.00-10.45 11.05-11.50","08.09.2026"
"ПП26-22","Бычихина Н.А.","1.2","АДП.02 Социальная адаптация и основы социально-правовых знаний","239","12.10-12.55 13.05-13.50","08.09.2026"
"СС25-3","Машер В.В.","1.2","МДК.01.03Безопасность компьютерных сетей","207","16.35-17.10 17.30-18.05","08.09.2026"
"СС25-3","Машер В.В.","1.2","МДК.01.03Безопасность компьютерных сетей","207","18.15-18.50 19.00-19.35","08.09.2026"
"СС25-3","Бурундуков Е.В.","1.2","БД.10 Биология","206","14.00-14.45 14.55-15.40","08.09.2026"
"СС26-4","Романовская Е.В.","1.2","БД.04 Обществознание","247","16.35-17.10 17.30-18.05","08.09.2026"
"СС26-4","Романовская Е.В.","1.2","БД.04 Обществознание","247","18.15-18.50 19.00-19.35","08.09.2026"
"СС26-4","Еськова И.П.","1.2","ПД.01 Математика","202","14.00-14.45 14.55-15.40","08.09.2026"
"ТОд23-1","Пилипук В.А.","1.2","МДК.03.03 Тюнинг автомобилей","117","16.35-17.10 17.30-18.05","08.09.2026"
"ТОд23-1","Пилипук В.А.","1.2","МДК.03.03 Тюнинг автомобилей","117","18.15-18.50 19.00-19.35","08.09.2026"
"ТОд23-1","Полякова М.В.","1.2","ОГСЭ.03 Иностранный язык в профессиональной деятельности","250а","14.00-14.45 14.55-15.40","08.09.2026"
"Э25-6","Дьячкова Е.Р.","1.2","МДК.01.02 Организация расчетов с бюджетами бюджетной системы Российской Федерации","245","16.35-17.10 17.30-18.05","08.09.2026"
"Э25-6","Дьячкова Е.Р.","1.2","МДК.01.01 Практические основы бухгалтерского учета активов организации и источников их формирования","245","18.15-18.50 19.00-19.35","08.09.2026"
"Э25-6","Зылёв А.Д.","1.2","ПД.03 Информатика","209","14.00-14.45 14.55-15.40","08.09.2026"
"ЭСХ23-4","Бурундуков Е.В.","1.2","МДК.04.02 Основы управления транспортными средствами категории BC","139","16.35-17.10 17.30-18.05","08.09.2026"
"ЭСХ23-4","Бурундуков Е.В.","1.2","ОП.18 Основы законодательства в сфере дорожного движения","139","18.15-18.50 19.00-19.35","08.09.2026"
"ЭСХ23-4","Глыдов В.Н.","1.2","МДК.04.03 Организация и выполнение грузовых перевозок автомобильным транспортом","104","14.00-14.45 14.55-15.40","08.09.2026"
"ЭСХ25-5","Кузнецов Н.В.","1.2","МДК.01.02 Подготовка тракторов и сельскохозяйственных машин и механизмов к работе.","202","16.35-17.10 17.30-18.05","08.09.2026"
"ЭСХ25-5","Кузнецов Н.В.","1.2","МДК.01.02 Подготовка тракторов и сельскохозяйственных машин и механизмов к работе.","202","18.15-18.50 19.00-19.35","08.09.2026"
"ЭСХ25-5","Григораш А.В.","1.2","ПД.03 Биология","240","14.00-14.45 14.55-15.40","08.09.2026"
"2367","Мещерякова Д.М.","1.2","ОП.13 Производство и приготовление кулинарной и кондитерской продукции национальной кухни","122","8.00-8.45 8.55-9.40","08.09.2026"
"2367","Мещерякова Д.М.","1.2","ОП.13 Производство и приготовление кулинарной и кондитерской продукции национальной кухни","122","10.00-10.45 11.05-11.50","08.09.2026"
"2367","Седякина Д.Ю.","1.2","ОПЦ.07  Иностранный язык в профессиональной деятельности","133","12.10-12.55 13.05-13.50","08.09.2026"
"2577","Абакумов А.В.","1.2","МДК.01.01 Технология каменных работ","207","10.00-10.45 11.05-11.50","08.09.2026"
"2577","Абакумов А.В.","1.2","МДК.01.01 Технология каменных работ","207","12.10-12.55 13.05-13.50","08.09.2026"
"2578","Деньгуб А.А.","1.2","ОП.02 Информационные технологии","135","8.00-8.45 8.55-9.40","08.09.2026"
"2578","Шмелёва А.В.","1.2","ОДП.11 Математика","240","10.00-10.45 11.05-11.50","08.09.2026"
"2578","Бурундуков Е.В.","1.2","ОДБ.10 Биология","242","12.10-12.55 13.05-13.50","08.09.2026"
"2579","Алта В.В.","1","УП.01.01 Учебная практика ""Проведение подготовительных, сборочных операций перед сваркой, зачистка и контроль сварных швов после сварки"""," ","8.00-8.45 8.55-9.40","08.09.2026"
"2579","Косичкин Т.В.","2","УП.01.01 Учебная практика ""Проведение подготовительных, сборочных операций перед сваркой, зачистка и контроль сварных швов после сварки""","№2 гараж","8.00-8.45 8.55-9.40","08.09.2026"
